"STATE","RELIG","POPWGHT"
"ME","36",0.081
"ME","60",0.161740740740741
"ME","61",0.016962962962963
"ME","62",0.040888888888889
"ME","63",0.016962962962963
"ME","75",0.074962962962963
"ME","77",0.026962962962963
"ME","78",0.041
"ME","79",0.029925925925926
"ME","90",0.146851851851852
"ME","91",0.210851851851852
"ME","95",3.22292592592593
"ME","98",0.185851851851852
"ME","99",0.361333333333334
"MI","1",13.1556666666667
"MI","2",6.46125925925926
"MI","3",0.286925925925926
"MI","4",0.05
"MI","5",0.113925925925926
"MI","6",0.307777777777778
"MI","8",5.55622222222223
"MI","9",1.73825925925926
"MI","11",0.081925925925926
"MI","12",0.492481481481482
"MI","13",0.031962962962963
"MI","14",4.20655555555556
"MI","15",0.043962962962963
"MI","16",0.085962962962963
"MI","17",12.8486296296296
"MI","18",1.00281481481482
"MI","19",0.970333333333334
"MI","20",0.243592592592593
"MI","21",0.286740740740741
"MI","22",0.017962962962963
"MI","23",0.335703703703704
"MI","24",0.383925925925926
"MI","25",0.05
"MI","27",0.020962962962963
"MI","29",0.056962962962963
"MI","30",0.399666666666667
"MI","31",0.044962962962963
"MI","32",0.010962962962963
"MI","33",0.230962962962963
"MI","34",0.105962962962963
"MI","36",1.3192962962963
"MI","38",0.106851851851852
"MI","39",0.201851851851852
"MI","60",0.33862962962963
"MI","61",0.546888888888889
"MI","62",0.356740740740741
"MI","63",0.163888888888889
"MI","64",0.199888888888889
"MI","73",0.183925925925926
"MI","78",0.345851851851852
"MI","79",0.472777777777778
"MI","90",0.524814814814815
"MI","91",0.274666666666667
"MI","95",10.257962962963
"MI","98",0.654444444444445
"MI","99",2.88862962962963
"MN","1",11.1727777777778
"MN","2",1.19614814814815
"MN","7",0.035962962962963
"MN","8",1.98048148148148
"MN","9",0.500333333333334
"MN","10",0.046962962962963
"MN","11",0.017962962962963
"MN","12",0.267703703703704
"MN","14",8.25718518518519
"MN","15",0.195740740740741
"MN","16",0.048962962962963
"MN","17",5.82707407407408
"MN","18",0.63925925925926
